Country,Date,Cases,Deaths,Recovered,Active,Critical,Tests,Population,Vaccinated
Brazil,2023-11-03,652,54,120,320,2,31411,14914904,94603
Brazil,2023-05-14,983,11,385,182,23,87934,4217767,6812
Brazil,2023-11-08,307,47,863,352,1,3334,9567748,39968
Brazil,2023-08-02,163,16,663,401,38,95880,4587970,45478
Brazil,2023-05-25,338,93,408,342,20,42565,8347693,65988
Brazil,2023-05-14,553,78,664,322,47,38741,1852313,1007
Brazil,2023-09-01,673,16,869,214,3,15453,13332305,56916
Brazil,2023-03-14,171,24,546,106,2,67122,19713767,21161
Brazil,2023-09-03,995,85,189,456,42,77422,1932718,15045
Brazil,2023-03-31,326,41,1000,157,10,72027,19874536,59477
Brazil,2023-01-13,575,1,783,299,17,5435,18425858,13111
Brazil,2023-07-18,568,54,929,182,7,48194,18113832,274
Brazil,2023-11-05,143,87,495,136,37,29290,11659167,77508
Brazil,2023-05-26,277,63,990,263,7,30628,3532819,82936
Brazil,2023-08-19,135,41,136,189,39,65423,19311416,300
Brazil,2023-11-28,819,63,898,316,36,18998,12317908,37571
Brazil,2023-05-10,538,88,495,359,38,33386,19775952,89749
Brazil,2023-06-26,604,37,844,152,41,70452,10663650,62193
Brazil,2023-04-23,433,58,380,188,13,35602,11117947,94853
Brazil,2023-08-03,781,45,471,4,8,8637,16595932,91887
Brazil,2023-04-18,389,80,822,494,33,16760,12983559,4487
Brazil,2023-09-18,224,93,728,237,3,66986,8864085,66345
Brazil,2023-10-15,72,97,252,436,47,86810,7313899,64270
Brazil,2023-01-25,303,76,0,211,21,67565,18068334,68787
Brazil,2023-07-05,135,11,792,64,23,3673,16141192,56998
Brazil,2023-11-07,973,36,213,13,35,75450,12539780,22830
Brazil,2023-07-21,981,99,834,362,12,5661,17901166,38581
Brazil,2023-10-03,327,44,811,128,22,13932,18931203,77715
Brazil,2023-04-06,529,45,117,194,35,56826,9049657,95917
Brazil,2023-04-08,358,81,951,474,29,17866,9768503,64930
Brazil,2023-05-19,221,44,634,144,1,47469,18525205,61743
Brazil,2023-01-28,762,0,877,92,26,34145,1497698,51936
Brazil,2023-09-12,339,29,648,85,0,75114,1820484,4990
Brazil,2023-06-22,781,14,980,375,29,16105,11683064,13662
Brazil,2023-04-27,813,77,924,293,36,37964,9589120,24948
Brazil,2023-02-06,933,32,484,206,17,78383,4752932,4732
Brazil,2023-03-27,816,65,768,226,18,66619,10143289,11776
Brazil,2023-11-10,916,36,712,80,31,78111,13200894,33609
Brazil,2023-01-22,730,40,594,78,16,69992,14457542,40458
Brazil,2023-01-28,559,42,343,179,25,71113,16271681,7067
Brazil,2023-07-09,231,51,95,444,12,33861,9019920,19330
Brazil,2023-09-08,272,77,288,230,33,58753,9662882,1314
Brazil,2023-01-27,706,86,472,422,41,63401,12562051,54326
Brazil,2023-10-03,775,93,185,56,22,77180,14007021,42253
Brazil,2023-11-27,639,12,30,203,4,95921,16600440,625
Brazil,2023-03-30,835,98,383,210,0,22770,19756836,38235
Brazil,2023-03-17,9,52,453,205,48,65109,2562845,56331
Brazil,2023-10-14,320,2,491,186,46,16368,17716687,2177
Brazil,2023-01-18,76,83,739,295,23,28513,13052106,94941
Brazil,2023-03-13,170,67,369,408,23,72238,11620993,42690
Brazil,2023-10-30,148,79,936,196,30,27491,14744777,95851
Brazil,2023-07-17,446,53,872,155,13,41128,1530588,58589
Brazil,2023-09-27,71,15,137,499,40,73845,16393888,53022
Brazil,2023-03-26,716,72,519,458,28,28483,17822976,78384
Brazil,2023-09-24,73,92,4,246,6,96177,11307933,98102
Brazil,2023-11-27,231,82,639,51,3,70788,1910175,50365
Brazil,2023-04-08,719,74,377,259,17,3886,14795452,83681
Brazil,2023-10-26,184,88,777,387,45,31444,11791925,87858
Brazil,2023-02-13,565,48,506,7,29,89697,4790925,36556
Brazil,2023-09-04,817,12,651,179,35,75453,17421096,12125
Brazil,2023-03-20,774,71,609,291,10,90425,8427321,74023
Brazil,2023-03-09,542,96,700,183,41,39174,5449097,43955
Brazil,2023-06-27,44,25,922,192,31,37942,11789653,51113
Brazil,2023-08-18,545,91,303,278,3,63527,12519921,42205
Brazil,2023-07-18,123,31,21,338,26,31103,7019402,21813
Brazil,2023-02-04,151,89,743,144,46,53254,1135537,4499
Brazil,2023-06-07,783,22,570,316,49,57625,4879386,39083
Brazil,2023-07-20,85,49,981,135,4,73752,3789007,78940
Brazil,2023-04-25,383,51,207,296,44,90815,13786613,68220
Brazil,2023-05-15,311,1,372,47,19,53593,12349229,67756
Brazil,2023-05-04,849,97,1000,268,27,83991,7120231,48632
Brazil,2023-08-03,420,70,757,78,11,1015,18434555,97393
Brazil,2023-06-11,38,67,559,150,42,20832,19819972,97551
Brazil,2023-07-04,621,4,409,39,12,20147,12440390,27618
Brazil,2023-08-25,943,58,647,28,44,9935,17285650,11133
Brazil,2023-04-07,642,92,144,12,6,24924,18741091,32467
Brazil,2023-09-24,383,58,632,321,43,37992,17805677,1305
Brazil,2023-09-06,422,45,999,377,17,68434,14679247,84272
Brazil,2023-10-17,330,3,213,229,30,40066,15402641,48419
Brazil,2023-11-14,212,70,583,290,41,32521,7053822,69798
Brazil,2023-10-13,558,92,869,447,26,2028,4322833,59934
Brazil,2023-02-03,818,94,290,291,2,43582,13612245,26572
Brazil,2023-11-02,892,54,503,31,15,71386,3524025,47718
Brazil,2023-01-27,781,80,132,291,19,67999,18586149,10571
Brazil,2023-01-31,979,33,803,2,7,62050,5827434,53148
Brazil,2023-06-02,835,58,311,32,36,50959,9499069,1760
Brazil,2023-02-09,803,69,754,311,48,48392,4784069,80734
Brazil,2023-06-07,181,68,626,86,30,80040,5651460,43309
Brazil,2023-06-09,839,83,398,222,1,88179,8113108,10206
Brazil,2023-06-02,262,76,909,214,34,65408,6570338,94569
Brazil,2023-06-03,568,9,189,21,14,49622,5008187,48574
Brazil,2023-06-13,956,60,294,436,45,97228,18766941,16805
Brazil,2023-04-01,705,79,584,283,16,79379,10384721,91810
Brazil,2023-03-02,413,18,919,343,29,29961,5395658,34602
Brazil,2023-03-08,393,28,131,223,5,22804,2081771,9707
Brazil,2023-11-12,517,10,860,166,40,37477,14706137,47251
Brazil,2023-01-02,641,40,405,261,15,88852,14426895,60990
Brazil,2023-01-20,412,75,294,117,40,8384,9015760,5469
Brazil,2023-11-06,554,35,31,322,10,97398,2333679,27498
Brazil,2023-05-21,298,56,176,490,35,64772,6416570,81479
Brazil,2023-07-14,294,71,720,147,14,64466,17272314,16267
Brazil,2023-07-18,699,98,519,255,2,77079,12373710,1220
Brazil,2023-08-18,413,57,663,127,34,29076,1464688,52649
Brazil,2023-04-20,249,65,493,413,1,78138,10308546,68466
Brazil,2023-01-03,844,96,437,476,5,50331,15051456,64881
Brazil,2023-11-02,970,55,246,446,37,25439,6663156,53716
Brazil,2023-07-12,102,96,812,476,45,27253,8601294,98778
Brazil,2023-10-26,620,38,279,209,47,83286,12825495,44236
Brazil,2023-08-22,536,83,168,102,13,25853,17845411,54750
Brazil,2023-01-07,916,88,251,167,24,32592,8737516,78459
Brazil,2023-01-31,73,96,302,219,15,21016,11393633,47884
Brazil,2023-11-06,237,79,990,246,35,45465,18938934,46920
Brazil,2023-10-02,250,17,676,5,42,90607,12645599,55171
Brazil,2023-05-20,475,30,566,485,33,50631,2652280,19468
Brazil,2023-09-11,676,48,635,260,10,10420,7111888,35596
Brazil,2023-04-30,653,21,493,218,41,60309,6397920,17138
Brazil,2023-03-07,20,62,84,192,9,62165,7502394,79014
Brazil,2023-02-27,679,26,404,496,18,13197,6238029,71382
Brazil,2023-10-15,140,39,91,379,17,46062,3948740,74711
Brazil,2023-06-09,147,24,959,5,48,97684,12050178,83841
Brazil,2023-05-04,103,24,813,123,37,93283,19818426,17615
Brazil,2023-08-10,621,61,25,8,38,88146,13056426,41097
Brazil,2023-11-27,190,71,606,408,23,55353,7336879,88842
Brazil,2023-07-23,41,46,605,287,14,54284,4031742,48429
Brazil,2023-03-26,495,87,853,419,12,35885,2204697,44406
Brazil,2023-09-17,338,67,357,190,30,28056,18783320,538
Brazil,2023-04-16,976,65,386,150,38,49121,13481755,93163
Brazil,2023-01-02,663,61,689,72,26,6392,19003327,79955
Brazil,2023-10-01,580,47,621,438,3,53995,8908483,42690
Brazil,2023-09-02,346,57,273,50,9,8515,12243590,53141
Brazil,2023-04-07,608,52,37,489,43,8704,2793945,27641
Brazil,2023-10-20,268,87,256,496,11,31804,9015380,19382
Brazil,2023-05-27,248,61,692,216,40,52130,14917078,56004
Brazil,2023-04-29,19,22,710,402,29,41095,17227933,63512
Brazil,2023-04-13,343,10,150,187,13,74254,17714928,39909
Brazil,2023-07-28,498,4,225,3,44,30970,11736804,92138
Brazil,2023-10-25,468,92,199,119,1,11071,11622939,83528
Brazil,2023-11-21,138,91,348,456,28,9780,2987762,89444
Brazil,2023-03-20,428,20,172,387,13,75966,15001767,49456
Brazil,2023-09-10,557,40,153,72,35,91646,6100143,90127
Brazil,2023-05-24,54,91,317,283,17,67941,7079811,79958
Brazil,2023-06-29,492,35,392,391,15,56882,11636780,94366
Brazil,2023-11-08,529,77,951,497,23,29007,2557378,91405
Brazil,2023-10-07,607,72,502,431,19,89774,13079740,369
Brazil,2023-07-08,877,79,416,235,34,19290,14697414,16526
Brazil,2023-07-07,679,98,519,314,36,14255,15913672,78010
Brazil,2023-09-06,123,49,331,71,19,22713,2473118,26704
Brazil,2023-02-03,524,60,213,158,10,11644,5067398,3512
Brazil,2023-11-06,902,13,669,23,22,20846,3230334,12226
Brazil,2023-07-22,770,69,592,87,9,72907,12767844,91506
Brazil,2023-09-01,909,16,378,407,24,41334,5122149,21991
Brazil,2023-07-05,453,29,640,350,17,24982,1707890,17257
Brazil,2023-01-29,111,48,148,88,38,35696,10892607,91869
Brazil,2023-10-17,822,60,410,298,5,23725,9555055,98040
Brazil,2023-04-04,607,20,513,73,36,30222,8666517,12951
Brazil,2023-08-21,448,71,483,284,46,78470,3542430,80880
Brazil,2023-07-02,879,24,264,371,40,2562,17861731,2394
Brazil,2023-01-09,56,85,705,105,5,74448,14921013,78097
Brazil,2023-10-14,74,88,137,404,1,99319,9599607,10528
Brazil,2023-10-05,3,49,638,248,33,51355,8525281,59273
Brazil,2023-06-26,385,68,809,263,7,3026,6064691,1328
Brazil,2023-03-08,673,100,516,375,31,19160,8046925,71143
Brazil,2023-04-20,995,92,739,135,23,24630,9303483,78580
Brazil,2023-09-01,322,88,897,364,47,8008,3817423,68033
Brazil,2023-10-12,645,32,901,360,27,35253,8056680,37566
Brazil,2023-06-26,250,88,798,167,3,53362,3922150,47290
Brazil,2023-03-10,641,23,659,451,5,27261,12394576,49363
Brazil,2023-02-04,443,92,736,218,45,90452,8603545,30519
Brazil,2023-05-11,426,51,338,375,8,79277,14951679,37391
Brazil,2023-10-02,882,92,815,411,2,75971,14222871,3864
Brazil,2023-05-06,652,23,439,424,36,4646,15179665,94559
Brazil,2023-03-14,960,17,53,196,40,63803,19953934,53527
Brazil,2023-07-10,138,80,983,279,46,5120,6095400,17477
Brazil,2023-01-04,180,71,808,79,5,65696,15334665,23708
Brazil,2023-09-03,284,70,591,326,9,81581,18273736,98088
Brazil,2023-02-24,876,41,446,285,4,15792,3485054,61481
Brazil,2023-03-01,953,70,433,285,41,73017,12181974,83529
Brazil,2023-09-21,916,79,184,4,43,16750,7625576,97604
Brazil,2023-10-29,455,67,583,173,16,50478,3918255,88587
Brazil,2023-07-31,899,70,732,311,27,71047,7947080,29550
Brazil,2023-01-10,827,80,592,395,46,48232,15876919,31667
Brazil,2023-02-23,187,63,887,226,22,14114,11782139,13317
Brazil,2023-05-13,398,27,149,303,40,55347,18797379,70872
Brazil,2023-02-05,835,94,427,462,18,37601,13282795,90668
Brazil,2023-05-11,338,74,668,284,30,10386,10769590,78312
Brazil,2023-05-05,923,30,383,325,18,24385,19031546,80252
Brazil,2023-09-25,907,45,760,38,14,12098,17799612,93681
Brazil,2023-09-29,242,28,245,401,10,78395,17993873,19818
Brazil,2023-01-27,788,41,114,299,28,6210,4842626,73883
Brazil,2023-02-19,86,38,354,15,2,70529,10741022,45879
Brazil,2023-10-13,907,69,335,144,27,94416,11069612,94109
Brazil,2023-09-28,475,96,502,239,9,89393,11150513,61808
Brazil,2023-05-12,419,38,555,145,41,37315,18434123,3297
Brazil,2023-07-18,187,64,484,490,21,72406,12814375,27658
Brazil,2023-08-06,21,2,424,419,1,64809,13636881,52190
Brazil,2023-09-16,958,72,170,283,6,37296,6871907,22236
Brazil,2023-01-26,776,17,250,438,20,10977,8669250,27907
Brazil,2023-08-06,738,82,693,291,45,48003,5738481,97182
Brazil,2023-08-21,539,79,351,302,12,46644,16309349,62776
Brazil,2023-11-09,204,53,312,220,41,11462,5432151,96469
Brazil,2023-07-04,152,62,659,65,43,23895,15948628,80155
Brazil,2023-07-02,810,46,489,18,40,21598,7648790,82651
Brazil,2023-06-29,876,17,740,346,19,26258,18373503,82812
Brazil,2023-05-20,697,24,410,401,22,99531,19810571,99340
Brazil,2023-04-04,723,64,230,55,30,85219,17536400,6156
Brazil,2023-04-07,854,26,868,130,32,84275,17903352,31941
Brazil,2023-09-27,541,54,51,218,35,38171,3382064,29500
Brazil,2023-10-02,729,46,592,303,23,77904,18262985,91941
Brazil,2023-05-29,640,5,636,416,48,76626,2728987,55855
Brazil,2023-11-20,845,93,166,424,25,98133,3627860,41517
Brazil,2023-03-01,997,11,567,72,23,72327,18865998,92578
Brazil,2023-08-07,738,49,861,402,27,95897,15927331,79194
Brazil,2023-11-13,330,51,678,142,3,8504,2999979,1700
Brazil,2023-03-21,850,93,137,205,45,35716,15871926,81448
Brazil,2023-02-22,971,16,204,285,8,26229,18306574,93760
Brazil,2023-02-14,665,37,659,267,21,81907,9501516,71051
Brazil,2023-02-25,276,32,500,259,27,2076,5120781,29881
Brazil,2023-10-05,737,23,702,304,12,53651,13994879,71420
Brazil,2023-07-08,352,86,388,82,14,73121,11322839,59399
Brazil,2023-08-24,838,35,89,133,23,82416,10162394,29294
Brazil,2023-10-26,906,62,622,146,49,24057,18703656,54427
Brazil,2023-01-17,317,23,146,151,30,92513,13700710,78518
Brazil,2023-07-08,228,60,248,58,22,40216,14537268,26599
Brazil,2023-01-15,383,7,408,100,30,79505,15579725,15380
Brazil,2023-01-15,283,50,706,211,1,28766,8050659,35619
Brazil,2023-04-12,895,80,779,448,22,39555,13320407,64421
Brazil,2023-03-28,227,23,87,232,47,78955,17919885,84738
Brazil,2023-01-09,459,61,486,477,27,83820,17244584,99578
Brazil,2023-04-14,379,33,708,273,47,50363,15518817,23530
Brazil,2023-08-05,704,97,677,287,43,71278,7117373,25388
Brazil,2023-06-10,413,90,485,10,1,53196,7958423,17669
Brazil,2023-07-19,736,47,443,100,29,27776,17514903,57522
Brazil,2023-10-11,120,43,767,245,33,43808,17695992,12259
Brazil,2023-04-25,767,95,480,431,11,28980,16173016,73590
Brazil,2023-08-16,41,43,568,89,34,96709,1767648,30385
Brazil,2023-06-11,813,68,839,462,2,77341,15787028,81700
Brazil,2023-08-30,102,49,596,242,22,43464,3681106,94245
Brazil,2023-01-14,790,19,558,76,14,16190,9319062,74723
Brazil,2023-02-25,353,42,808,393,12,33853,6351608,12095
Brazil,2023-05-29,109,82,180,194,22,74096,15155159,80081
Brazil,2023-01-27,38,73,77,174,7,22121,1580762,49347
Brazil,2023-01-03,887,14,797,191,23,92173,4539203,77448
Brazil,2023-09-11,188,78,956,308,39,99650,17341742,76475
Brazil,2023-03-23,209,43,584,25,10,82250,11301463,81766
Brazil,2023-06-19,415,60,480,395,48,9304,10895102,62073
Brazil,2023-11-25,333,73,345,275,49,60863,16276803,99805
Brazil,2023-06-23,573,99,360,453,8,69566,9410876,34050
Brazil,2023-11-20,201,92,691,443,41,18676,17587037,14838
Brazil,2023-09-05,835,39,524,176,48,31273,4101696,20231
Brazil,2023-05-14,583,92,134,185,25,38215,3270246,2156
Brazil,2023-02-03,994,64,555,419,22,89750,9062612,63760
Brazil,2023-02-10,190,98,307,120,11,82772,3825368,45690
Brazil,2023-06-07,16,25,934,244,30,72219,8754272,80456
Brazil,2023-09-03,720,79,574,104,7,33937,16275194,53366
Brazil,2023-08-22,104,96,647,378,36,20080,16769499,17348
Brazil,2023-06-28,408,90,32,153,0,24889,3992329,86719
Brazil,2023-10-25,268,43,499,348,31,3682,16737318,24617
Brazil,2023-01-29,30,12,771,317,18,24125,1251482,17843
Brazil,2023-07-22,802,5,50,129,0,92011,6599383,52923
Brazil,2023-01-11,101,28,501,59,15,69493,10790516,92407
Brazil,2023-08-21,530,33,703,333,42,87398,11370379,77848
Brazil,2023-08-21,81,19,608,221,14,61846,8569401,92893
Brazil,2023-04-13,512,88,546,291,11,94301,16032538,11000
Brazil,2023-11-13,785,79,25,33,0,48376,13194615,81541
Brazil,2023-05-28,339,40,934,185,42,41217,9355537,77750
Brazil,2023-07-16,45,71,493,264,50,21097,14306260,2463
Brazil,2023-08-03,31,0,764,39,31,28525,1550987,69239
Brazil,2023-06-22,194,29,304,34,29,12236,17427795,85826
Brazil,2023-04-07,951,32,644,279,44,42404,12387087,76708
Brazil,2023-05-23,443,49,847,91,19,38782,13783891,91126
Brazil,2023-10-07,614,69,281,496,16,38100,12193638,74235
Brazil,2023-03-23,845,30,184,210,49,40519,7320268,6018
Brazil,2023-05-15,292,51,448,404,31,18237,4158596,3546
Brazil,2023-08-18,862,38,148,348,39,73847,1666901,76042
Brazil,2023-07-11,754,82,567,86,2,78876,9562582,89264
Brazil,2023-09-30,270,46,442,454,11,57184,14963394,38247
Brazil,2023-01-12,233,77,564,457,38,64332,10404199,73939
Brazil,2023-02-09,454,19,832,166,3,64786,13157744,49585
Brazil,2023-01-15,575,33,70,454,48,28469,15484791,67017
Brazil,2023-08-11,920,54,349,197,32,93144,3144352,84509
Brazil,2023-04-13,696,18,550,39,43,75118,8220360,57651
Brazil,2023-09-19,724,88,225,201,16,17930,8219053,91975
Brazil,2023-09-04,356,47,529,233,24,27446,13856448,87048
Brazil,2023-10-26,622,97,55,464,12,94178,11723208,15691
Brazil,2023-03-16,454,16,212,297,8,38578,12907610,14716
Brazil,2023-09-01,858,68,67,397,21,95936,17922310,74931
Brazil,2023-11-10,429,81,457,313,48,99919,1337600,87908
Brazil,2023-07-21,930,0,517,135,18,80659,6431013,39666
Brazil,2023-07-16,168,16,708,355,17,67172,3497890,21054
Brazil,2023-07-07,356,54,167,494,31,44164,4235869,78479
Brazil,2023-07-21,244,50,948,365,16,18848,14257502,75595
Brazil,2023-11-15,251,92,982,244,33,87249,5177475,92823
Brazil,2023-01-06,985,20,423,250,7,89692,8148154,82874
Brazil,2023-10-12,813,20,930,402,30,86737,17829287,39271
Brazil,2023-04-06,711,31,145,356,44,72425,9376327,73430
Brazil,2023-07-05,19,81,185,454,18,69291,15639731,78997
Brazil,2023-01-12,563,79,55,100,18,76488,17602987,70938
Brazil,2023-03-09,321,73,431,368,27,25194,19983031,23547
Brazil,2023-11-24,835,59,901,482,38,73907,13119491,58212
Brazil,2023-05-09,384,93,406,211,4,91417,18380186,49979
Brazil,2023-01-03,297,78,789,167,28,36264,11418279,16436
Brazil,2023-10-13,674,63,250,400,46,43117,16476013,98379
Brazil,2023-01-17,101,32,285,50,28,15168,7030074,63475
Brazil,2023-11-12,680,45,333,329,35,27421,15354832,99597
Brazil,2023-10-11,253,46,743,152,18,36351,7485010,51357
Brazil,2023-03-09,655,24,77,169,38,51510,6341570,80862
Brazil,2023-04-20,752,25,140,464,15,32213,17974862,15193
Brazil,2023-04-04,481,23,487,319,49,42139,13494157,23444
Brazil,2023-05-14,284,25,218,53,44,5831,19730501,86906
Brazil,2023-09-05,864,14,344,387,44,73736,11592641,63310
Brazil,2023-09-02,356,88,328,25,26,50444,10117423,32770
Brazil,2023-05-27,163,43,827,393,42,38227,13836616,92696
Brazil,2023-11-15,71,19,318,208,2,14594,18949330,57236
Brazil,2023-05-09,679,5,173,171,31,78136,4418589,10455
Brazil,2023-10-29,189,76,93,450,23,66713,2754798,43960
Brazil,2023-04-28,481,3,984,258,24,70978,18559333,38273
Brazil,2023-03-06,337,41,393,341,29,89107,1515101,86987
Brazil,2023-04-17,331,25,807,468,11,40787,12033656,9313
Brazil,2023-10-06,223,95,308,441,46,75610,12426226,43702
Brazil,2023-06-17,50,68,262,97,27,8841,8637206,84707
Brazil,2023-08-27,915,87,67,57,17,35084,16107816,3133
Brazil,2023-06-30,53,23,299,447,37,49761,18006691,42315
Brazil,2023-11-17,434,76,340,229,41,88039,17922681,45987
Brazil,2023-06-24,916,55,455,460,21,27290,2171744,88817
Brazil,2023-07-21,111,95,705,68,15,5184,6551388,11409
Brazil,2023-05-16,854,99,581,215,37,30231,7408317,18119
Brazil,2023-08-07,831,46,28,353,6,40090,17115410,95100
Brazil,2023-01-21,553,18,44,372,23,79022,17728121,78460
Brazil,2023-08-17,937,63,200,446,34,50314,8824112,19630
Brazil,2023-05-26,679,100,436,497,8,66534,15073499,79360
Brazil,2023-03-20,369,28,935,186,40,9501,8663192,48190
Brazil,2023-06-24,927,5,199,297,15,83394,16242639,37924
Brazil,2023-07-18,971,20,494,487,2,42653,9444175,31554
Brazil,2023-05-09,707,52,454,486,13,84656,1404287,89657
Brazil,2023-03-25,211,89,475,102,31,90026,8825852,63702
Brazil,2023-07-05,53,71,885,231,38,2636,17433126,70025
Brazil,2023-11-28,151,41,107,454,13,67933,6232489,72206
Brazil,2023-03-31,627,67,581,459,10,11752,16620587,32513
Brazil,2023-06-29,303,37,684,22,37,63266,13044996,7005
Brazil,2023-11-18,184,43,841,259,37,99421,16827007,33763
Brazil,2023-10-09,687,96,549,212,47,74392,15352103,91739
Brazil,2023-05-17,336,39,701,16,1,47824,17085121,33781
Brazil,2023-02-02,568,0,211,390,11,94850,5923259,91994
Brazil,2023-01-11,182,15,503,333,16,25225,8274156,77541
Brazil,2023-01-20,527,76,851,242,24,50994,8061447,93045
Brazil,2023-07-15,353,3,999,233,25,4531,16429864,22315
Brazil,2023-05-03,172,90,667,392,1,93690,10258443,30798
Brazil,2023-11-13,113,49,767,412,21,67966,8474824,35670
Brazil,2023-01-04,403,71,342,17,33,69655,18985398,62661
Brazil,2023-01-17,477,10,473,265,13,77534,2851324,64280
Brazil,2023-01-07,792,54,227,157,25,75628,2672661,82062
Brazil,2023-11-26,428,31,910,237,36,2597,13938834,67014
Brazil,2023-02-19,580,28,429,155,40,22184,5457551,33658
Brazil,2023-05-11,385,16,601,131,22,73144,5300189,28388
Brazil,2023-10-21,586,29,125,434,37,55889,16242053,60895
Brazil,2023-02-21,516,87,824,79,11,66091,16892405,17391
Brazil,2023-05-14,521,44,291,246,22,88191,5563184,34790
Brazil,2023-05-28,573,29,717,440,0,71797,15171357,77161
Brazil,2023-11-06,523,85,441,469,41,99531,7229608,93766
Brazil,2023-06-25,29,39,98,443,12,92543,8445913,59897
Brazil,2023-03-04,913,78,425,138,40,98305,12745132,61403
Brazil,2023-08-09,562,80,301,118,29,97775,5890263,57480
Brazil,2023-06-10,181,89,408,467,14,21142,19256402,34563
Brazil,2023-11-16,442,82,677,204,12,24998,18444286,13519
Brazil,2023-10-07,671,18,979,49,15,2338,8272513,207
Brazil,2023-07-20,117,43,783,481,32,19056,8948046,65712
Brazil,2023-03-23,541,45,937,154,2,17111,4126767,93541
Brazil,2023-02-03,531,45,71,93,3,92501,19887011,95358
Brazil,2023-09-25,851,43,763,393,45,20608,19982906,87060
Brazil,2023-11-16,127,79,766,390,50,96548,16892394,97216
Brazil,2023-08-14,453,18,849,406,10,29789,14745391,36815
Brazil,2023-11-23,600,40,451,251,38,6673,14968867,40610
Brazil,2023-11-25,4,81,295,192,21,7994,13303766,19850
Brazil,2023-03-20,200,92,196,314,14,41824,17899065,86543
Brazil,2023-05-31,238,7,629,203,21,67923,9757118,35434
Brazil,2023-02-17,915,81,969,29,26,33609,19231067,36858
Brazil,2023-04-27,306,87,867,479,31,96131,4951654,25681
Brazil,2023-10-23,894,74,630,226,27,29425,4619624,2406
Brazil,2023-06-14,603,37,727,396,42,40121,18042103,13801
Brazil,2023-03-07,996,63,644,201,9,84395,17999557,14878
Brazil,2023-03-24,859,80,274,398,46,82051,6785886,33395
Brazil,2023-09-07,85,56,672,500,15,59445,12583206,86504
Brazil,2023-11-10,519,73,531,212,25,97916,17716527,58051
Brazil,2023-08-26,366,69,239,346,7,48359,12557112,65549
